stamp_sec,stamp_nanosec,ax_mps2,ay_mps2,az_mps2,gx_rps,gy_rps,gz_rps,qx,qy,qz,qw
45,928000000,0.048549417,0.960890926,9.763444046,-0.012532420,0.005290376,0.012077938,0.000000003,-0.000000003,-0.771058106,0.636764789
45,936000000,-0.943950015,5.772117684,9.847825855,-0.031429955,0.005306164,0.013910793,0.000000003,-0.000000003,-0.770991841,0.636845022
45,944000000,-0.084640449,0.092289726,9.771166476,0.028953840,-0.003363525,0.001950226,0.000000003,-0.000000003,-0.770938186,0.636909973
45,952000000,0.298004837,-0.721268420,9.789342722,0.024594144,0.015668266,0.024173261,0.000000003,-0.000000003,-0.770885798,0.636973380
45,960000000,-0.310998635,-0.910697939,9.896090037,0.003592323,0.007579032,0.032630981,0.000000003,-0.000000003,-0.770823438,0.637048842
45,968000000,0.288948500,-0.243006567,9.803487311,-0.019381118,-0.026688387,0.016905747,0.000000003,-0.000000003,-0.770740904,0.637148695
45,976000000,0.092231129,-0.037708791,9.831889796,-0.016995146,-0.003746301,0.028691717,0.000000002,-0.000000002,-0.770637508,0.637273749
45,984000000,0.232085523,-0.082917719,9.843392550,0.007158356,0.015694581,0.067085150,0.000000002,-0.000000002,-0.770489878,0.637452231
45,992000000,1.225953308,-5.228948069,9.779396930,-0.002136061,0.010061433,0.097224727,0.000000002,-0.000000002,-0.770268802,0.637719353
46,0,0.352614542,-0.254729608,9.851364898,-0.001475940,0.004467293,0.107327922,0.000000001,-0.000000001,-0.769985197,0.638061750
46,8000000,0.535015775,-0.102701619,9.927979128,-0.003142682,0.010068351,0.180949457,0.000000001,-0.000000001,-0.769634937,0.638484192
46,16000000,0.130266250,-0.255629612,9.843545610,-0.014100848,0.009683393,0.129491376,0.000000001,-0.000000001,-0.769240464,0.638959394
46,24000000,-0.511355253,-2.091810266,9.951653297,0.004753061,-0.015015445,0.186675742,0.000000001,-0.000000001,-0.768770581,0.639524662
46,32000000,-0.348943436,-2.160001689,9.663388853,-0.016768508,0.000249632,0.230544213,0.000000000,-0.000000001,-0.768209524,0.640198506
46,40000000,0.611690556,-0.307973876,9.787566822,-0.010534728,-0.015578392,0.281594947,0.000000000,-0.000000001,-0.767548218,0.640991212
46,48000000,0.724456877,-0.275380904,9.681791747,0.010427699,-0.000831754,0.305423085,0.000000000,-0.000000000,-0.766796300,0.641890516
46,56000000,0.688923171,-0.282276237,9.725286253,0.014671966,0.026755240,0.371097753,-0.000000000,-0.000000000,-0.765943696,0.642907657
46,64000000,0.589466637,-0.249833586,9.758333703,-0.011549484,-0.018912989,0.407434187,-0.000000000,-0.000000000,-0.765010914,0.644017315
46,72000000,0.451738140,-0.150108720,10.035687923,-0.005144395,-0.016658724,0.392246162,-0.000000000,-0.000000000,-0.764012739,0.645201159
46,80000000,0.033675425,-2.667407318,9.792309159,-0.018314750,-0.008895680,0.419008008,-0.000000000,-0.000000000,-0.762953372,0.646453519
46,88000000,0.336753218,-2.194539207,9.795569758,-0.003228795,-0.000633241,0.421047760,-0.000000001,-0.000000000,-0.761830159,0.647776820
46,96000000,1.342561884,-0.602307728,9.699865640,-0.019899083,-0.001894037,0.458525240,-0.000000001,-0.000000000,-0.760652916,0.649158795
46,104000000,0.467111033,-2.400250552,9.842053875,0.004454310,-0.002923302,0.465026296,-0.000000001,0.000000000,-0.759435548,0.650582545
46,112000000,1.029515660,-1.447272471,9.791355294,0.002747187,-0.002498460,0.486279534,-0.000000001,0.000000000,-0.758169052,0.652058041
46,120000000,1.242896026,-0.631990409,9.804543876,0.001370684,0.008553045,0.529066452,-0.000000001,0.000000000,-0.756858334,0.653578964
46,128000000,1.079254867,-0.467960620,9.730752210,0.047606895,0.012744227,0.499436388,-0.000000001,0.000000000,-0.755515429,0.655130854
46,136000000,-1.093113601,-5.614046545,9.731564848,0.009587749,-0.018510192,0.481985223,-0.000000001,0.000000000,-0.754148314,0.656704135
46,144000000,0.206588355,-2.908084127,9.884750808,-0.022224281,-0.005663643,0.533581867,-0.000000001,0.000000000,-0.752749437,0.658307136
46,152000000,0.158251179,-0.014077096,9.851499798,-0.016887463,0.017446924,0.542151046,-0.000000001,0.000000000,-0.751312386,0.659946740
46,160000000,-0.673783201,-5.019040900,9.778987039,0.010126262,0.022302794,0.551404939,-0.000000001,0.000000000,-0.749856638,0.661600350
